PlanName,PlanningDept,Site_SK,SiteName,AssetType,Class,EqmtFleet_RowID,assetSubclass,Dig Config,Grouped_Fleet,OperatingMode,Circuit_Name,splitWeekName,fromDate,toDate,yearMonthPK,metricName,metricValue
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///40B,2026-10-01T00:00:00,2026-10-04T00:00:00,2026-10,Calendar Time,96.00000000000007
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///40B,2026-10-01T00:00:00,2026-10-04T00:00:00,2026-10,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///40B,2026-10-01T00:00:00,2026-10-04T00:00:00,2026-10,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///41,2026-10-05T00:00:00,2026-10-11T00:00:00,2026-10,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///41,2026-10-05T00:00:00,2026-10-11T00:00:00,2026-10,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///41,2026-10-05T00:00:00,2026-10-11T00:00:00,2026-10,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///42,2026-10-12T00:00:00,2026-10-18T00:00:00,2026-10,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///42,2026-10-12T00:00:00,2026-10-18T00:00:00,2026-10,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///42,2026-10-12T00:00:00,2026-10-18T00:00:00,2026-10,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///43,2026-10-19T00:00:00,2026-10-25T00:00:00,2026-10,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///43,2026-10-19T00:00:00,2026-10-25T00:00:00,2026-10,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///43,2026-10-19T00:00:00,2026-10-25T00:00:00,2026-10,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///44A,2026-10-26T00:00:00,2026-10-31T00:00:00,2026-10,Calendar Time,144.0000000000001
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///44A,2026-10-26T00:00:00,2026-10-31T00:00:00,2026-10,Scheduled Loss,2.0000000000000018
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-10///44A,2026-10-26T00:00:00,2026-10-31T00:00:00,2026-10,Scheduled Loss Percentage,1.3888888888888888
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///44B,2026-11-01T00:00:00,2026-11-01T00:00:00,2026-11,Calendar Time,24.000000000000018
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///44B,2026-11-01T00:00:00,2026-11-01T00:00:00,2026-11,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///44B,2026-11-01T00:00:00,2026-11-01T00:00:00,2026-11,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///45,2026-11-02T00:00:00,2026-11-08T00:00:00,2026-11,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///45,2026-11-02T00:00:00,2026-11-08T00:00:00,2026-11,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///45,2026-11-02T00:00:00,2026-11-08T00:00:00,2026-11,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///46,2026-11-09T00:00:00,2026-11-15T00:00:00,2026-11,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///46,2026-11-09T00:00:00,2026-11-15T00:00:00,2026-11,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///46,2026-11-09T00:00:00,2026-11-15T00:00:00,2026-11,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///47,2026-11-16T00:00:00,2026-11-22T00:00:00,2026-11,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///47,2026-11-16T00:00:00,2026-11-22T00:00:00,2026-11,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///47,2026-11-16T00:00:00,2026-11-22T00:00:00,2026-11,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///48,2026-11-23T00:00:00,2026-11-29T00:00:00,2026-11,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///48,2026-11-23T00:00:00,2026-11-29T00:00:00,2026-11,Scheduled Loss,2.0000000000000018
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///48,2026-11-23T00:00:00,2026-11-29T00:00:00,2026-11,Scheduled Loss Percentage,1.1904761904761905
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///49A,2026-11-30T00:00:00,2026-11-30T00:00:00,2026-11,Calendar Time,24.000000000000018
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///49A,2026-11-30T00:00:00,2026-11-30T00:00:00,2026-11,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-11///49A,2026-11-30T00:00:00,2026-11-30T00:00:00,2026-11,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///49B,2026-12-01T00:00:00,2026-12-06T00:00:00,2026-12,Calendar Time,144.0000000000001
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///49B,2026-12-01T00:00:00,2026-12-06T00:00:00,2026-12,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///49B,2026-12-01T00:00:00,2026-12-06T00:00:00,2026-12,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///50,2026-12-07T00:00:00,2026-12-13T00:00:00,2026-12,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///50,2026-12-07T00:00:00,2026-12-13T00:00:00,2026-12,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///50,2026-12-07T00:00:00,2026-12-13T00:00:00,2026-12,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///51,2026-12-14T00:00:00,2026-12-20T00:00:00,2026-12,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///51,2026-12-14T00:00:00,2026-12-20T00:00:00,2026-12,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///51,2026-12-14T00:00:00,2026-12-20T00:00:00,2026-12,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///52,2026-12-21T00:00:00,2026-12-27T00:00:00,2026-12,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///52,2026-12-21T00:00:00,2026-12-27T00:00:00,2026-12,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///52,2026-12-21T00:00:00,2026-12-27T00:00:00,2026-12,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///53A,2026-12-28T00:00:00,2026-12-31T00:00:00,2026-12,Calendar Time,96.00000000000007
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///53A,2026-12-28T00:00:00,2026-12-31T00:00:00,2026-12,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2026-12///53A,2026-12-28T00:00:00,2026-12-31T00:00:00,2026-12,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///53B,2027-01-01T00:00:00,2027-01-03T00:00:00,2027-01,Calendar Time,72.00000000000006
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///53B,2027-01-01T00:00:00,2027-01-03T00:00:00,2027-01,Scheduled Loss,66.00000000000006
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///53B,2027-01-01T00:00:00,2027-01-03T00:00:00,2027-01,Scheduled Loss Percentage,91.66666666666666
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///1,2027-01-04T00:00:00,2027-01-10T00:00:00,2027-01,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///1,2027-01-04T00:00:00,2027-01-10T00:00:00,2027-01,Scheduled Loss,54.00000000000004
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///1,2027-01-04T00:00:00,2027-01-10T00:00:00,2027-01,Scheduled Loss Percentage,32.142857142857146
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///2,2027-01-11T00:00:00,2027-01-17T00:00:00,2027-01,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///2,2027-01-11T00:00:00,2027-01-17T00:00:00,2027-01,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///2,2027-01-11T00:00:00,2027-01-17T00:00:00,2027-01,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///3,2027-01-18T00:00:00,2027-01-24T00:00:00,2027-01,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///3,2027-01-18T00:00:00,2027-01-24T00:00:00,2027-01,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///3,2027-01-18T00:00:00,2027-01-24T00:00:00,2027-01,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///4,2027-01-25T00:00:00,2027-01-31T00:00:00,2027-01,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///4,2027-01-25T00:00:00,2027-01-31T00:00:00,2027-01,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-01///4,2027-01-25T00:00:00,2027-01-31T00:00:00,2027-01,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-02///5,2027-02-01T00:00:00,2027-02-07T00:00:00,2027-02,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-02///5,2027-02-01T00:00:00,2027-02-07T00:00:00,2027-02,Scheduled Loss,2.0000000000000018
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-02///5,2027-02-01T00:00:00,2027-02-07T00:00:00,2027-02,Scheduled Loss Percentage,1.1904761904761905
